"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         317,      -6.283345674,      -3.886107943,      -4.870674149,      -2.067976065
          0,           0,         318,      -6.286641934,      -3.889049751,      -4.870880013,      -2.058306485
          0,           0,         319,      -6.290140388,      -3.891909301,      -4.874767064,      -2.074234082
          0,           0,         320,       -6.29391728,      -3.895347905,      -4.876129236,       -2.06664562
          0,           0,         321,      -6.295668488,      -3.896370707,       -4.87691305,      -2.079558886
          0,           0,         322,      -6.300624529,       -3.90110096,      -4.880353172,      -2.073149361
          0,           0,         323,      -6.302850603,      -3.902617545,      -4.882284061,       -2.08823794
          0,           0,         324,      -6.306060446,       -3.90549782,      -4.882670412,      -2.078830343
          0,           0,         325,      -6.309458212,      -3.908307148,      -4.886622119,       -2.09488339
          0,           0,         326,      -6.313159467,      -3.911690192,      -4.888174049,      -2.087550647
          0,           0,         327,      -6.314787181,      -3.912639651,      -4.889040094,      -2.100528592
          0,           0,         328,      -6.319683742,      -3.917329042,      -4.892645187,      -2.094219091
          0,           0,         329,      -6.321796468,      -3.918779234,      -4.894657315,      -2.109333827
